"caseid_new","w5_duration","w5_source","w5_complete","w5_status","w5x_qualified","w5x_marry","w5x_last","w5x_year","w5x_civil","w5x_month","w5x_civyear","w5x_civmonth","w5_q1","w5_q2","w5_sex_frequency","w5_p_monogamy","w5_identity","w5_outness","w5_q3","w5_q4","w5_mbtiming_month","w5_mbtiming_year","w5_q5","w5_q6","w5_q7","w5_mar_year","w5_mar_month","w5_q8","w5_civ_year","w5_civ_month","w5_q9","w5_q10","w5_nonmbtiming_year","w5_nonmbtiming_month","w5_broke_up","w5_HCMST_interview_fin_yrmo","w2345_combo_breakup","responded_to_w234or5","pp5_ppage","pp5_ppagecat","pp5_ppagect4","pp5_ppeduc","pp5_ppeducat","pp5_ppethm","pp5_ppgender","pp5_pphhhead","pp5_pphhsize","pp5_pphouse","pp5_ppincimp","pp5_ppmarit","pp5_ppcmdate_yrmo","pp5_newer","pp5_ppmsacat","pp5_ppreg4","pp5_ppreg9","pp5_pprent","pp5_ppt01","pp5_ppt25","pp5_ppt612","pp5_ppt1317","pp5_ppt18ov","pp5_ppwork","pp5_ppnet","ppmarit_2014","ppcmarit_2014_yrmo","ppmarit_2013","ppcmarit_2013_yrmo","ppmarit_2012","ppcmarit_2012_yrmo","ppmarit_2011","ppcmarit_2011_yrmo","ppmarit_2010","ppcmarit_2010_yrmo","ppmarit_2009","ppcmarit_2009_yrmo","ppmarit_2007","ppcmarit_2007_yrmo"
2462533,0,0,0,2,1,2,3,2011,1,4,2009,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,59,5,3,8,1,5,1,1,2,3,6,6,201106,0,0,2,3,2,0,0,0,0,2,6,1,0,0,0,0,0,0,6,201106,6,201009,6,200904,3,200710
2463495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,55,5,3,10,3,2,1,1,1,4,9,5,200904,0,0,3,5,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,5,200904,5,200710
2464481,0,1,1,1,1,1,1,2013,0,4,2013,4,1,1,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201412,0,1,54,4,3,10,3,1,2,1,2,1,9,1,201405,1,0,3,6,1,0,0,0,0,2,1,1,1,201405,1,201309,0,0,0,0,0,0,1,200904,1,200711
2465606,2,1,1,1,1,2,1,2013,0,3,2013,3,0,0,4,1,3,1,0,0,0,0,1,2,2,0,0,1,0,0,0,0,0,0,0,201412,0,1,66,6,4,14,4,2,2,1,1,1,13,5,201405,1,1,3,5,1,0,0,0,0,1,1,1,5,201405,5,201305,5,201206,5,201106,5,201007,5,200904,6,200710
2466445,0,0,0,4,1,2,5,2009,0,2,2009,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,4,3,9,2,2,2,1,1,3,9,5,200904,0,1,1,2,2,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,5,200904,5,200710
2468481,1,1,1,1,1,1,1,2013,0,3,2013,3,1,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201411,0,1,54,4,3,10,3,2,1,1,4,1,1,1,201404,1,1,3,5,1,0,0,0,0,4,1,1,1,201404,1,201305,1,201207,1,201107,1,201007,1,200904,1,200710
2469285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,2,2,12,4,1,1,0,2,3,16,5,201307,0,1,1,2,1,0,0,0,0,2,1,1,5,201412,5,201307,5,201207,5,201107,5,201007,5,200904,5,200710
2470335,0,1,1,1,1,1,1,2013,0,3,2013,3,1,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201412,0,1,39,3,2,12,4,1,1,1,2,1,12,1,201405,1,1,2,3,1,0,0,0,0,2,1,1,1,201405,1,201305,1,201207,1,201107,1,201007,5,200904,5,200711
2471586,0,0,0,2,1,2,3,2011,1,3,2009,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,5,4,9,2,1,1,1,2,1,11,6,201106,0,1,2,4,1,0,0,0,0,2,5,1,0,0,0,0,0,0,6,201106,6,201005,6,200905,6,200711
2472495,27,1,1,1,1,2,1,2013,0,3,2013,3,0,0,-1,-1,1,0,0,0,0,0,1,2,2,0,0,1,0,0,0,0,0,0,0,201412,0,1,54,4,3,12,4,1,2,0,3,3,7,5,201405,1,1,1,2,1,0,0,0,0,3,1,0,5,201405,5,201305,5,201206,5,201106,5,201007,5,200905,5,200710
2473591,0,0,0,2,1,1,3,2011,0,4,2009,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,65,6,4,11,3,2,2,1,2,2,11,1,201107,0,1,3,5,1,0,0,0,0,2,1,0,0,0,0,0,0,0,1,201107,1,201007,1,200904,1,200711
2475455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,4,3,10,3,1,1,0,2,1,12,5,200904,0,1,4,8,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,5,200904,5,200710
2476633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,6,4,10,3,1,2,1,1,1,10,3,201405,1,1,3,5,1,0,0,0,0,1,1,0,3,201405,3,201305,3,201206,3,201107,3,201008,3,200904,3,200711
2477722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,7,4,4,1,1,2,1,2,1,6,2,201008,0,0,3,5,1,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0,2,201008,2,200905,2,200710
