"caseid_new","w4_xqualified","w4_status","w4_complete","w4_source","w4_duration","w4_HCMST_interview_fin_yrmo","w4_xtype","w4_xyear","w4_xmonth","w4_xmarry","w4_xlast","w4_xwave1_month","w4_xcivil","w4_xss","w4_q1","w4_q2","w4_quality","w4_attractive","w4_attractive_partner","w4_q3","w4_q4","w4_mbtiming_year","w4_mbtiming_month","w4_q5","w4_q6","w4_q7","w4_mar_year","w4_mar_month","w4_civ_year","w4_q8_a","w4_q8_b","w4_q9","w4_q10","w4_nonmbtiming_year","w4_nonmbtiming_month","relationship_quality_w4","w4_broke_up","w234_combo_breakup","pp4_ppeduc","pp4_ppeducat","pp4_ppethm","pp4_pphhhead","pp4_pphhsize","pp4_pphouse","pp4_ppincimp","pp4_ppmarit","pp4_ppmsacat","pp4_ppreg4","pp4_ppreg9","pp4_pprent","pp4_ppt01","pp4_ppt25","pp4_ppt612","pp4_ppt1317","pp4_ppt18ov","pp4_ppwork","pp4_ppnet","pp4_ppcmdate_yrmo","pp4_newer","ppa2009_services_yrmo","ppa2009_how_often_services"
701496,1,1,1,1,5,201303,1,2011,3,2,2,2,0,1,0,0,1,3,1,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,5,0,0,10,3,1,1,2,1,13,6,1,4,8,1,0,0,0,0,2,1,1,201207,1,200904,5
702553,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,2,1,1,1,9,3,1,3,6,1,0,0,0,0,1,5,1,201309,1,200902,5
703215,1,4,0,0,0,0,2,2009,2,2,4,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,4,0,5,1,11,5,1,4,9,1,0,0,0,0,5,4,1,200805,0,200809,0
704331,1,1,1,1,1,201303,2,2011,4,1,2,2,0,2,1,1,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,12,4,4,1,3,3,16,1,1,3,5,2,1,0,0,0,2,1,1,201305,1,200903,4
705295,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,2,0,1,1,3,5,1,2,4,3,0,0,0,0,1,1,1,201305,1,200903,1
706306,1,2,0,0,0,0,2,2009,2,1,4,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,2,1,4,1,13,6,1,4,9,2,0,0,1,0,3,1,1,200905,0,200904,3
707663,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,4,2,1,1,3,4,5,1,2,3,2,0,0,0,0,1,5,0,201305,1,200903,5
708603,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,1,1,1,3,4,3,1,4,9,2,0,0,0,0,1,6,0,201305,1,200902,1
709205,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,4,1,0,2,1,15,5,1,4,9,1,0,0,0,0,2,1,1,201107,0,200902,0
710675,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,1,1,2,1,12,5,1,1,1,1,0,0,0,0,2,5,1,201305,1,200905,3
711676,1,1,1,1,1,201303,1,2011,4,2,2,2,1,2,0,0,1,3,2,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,5,0,0,12,4,1,1,3,1,17,6,1,4,8,1,0,0,0,0,3,5,1,201305,1,200903,0
712403,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,2,2,1,5,1,11,3,1,3,7,1,0,0,0,0,5,7,1,201008,0,200902,1
713433,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,1,1,2,3,4,3,1,3,7,2,0,0,0,1,1,6,1,201009,0,200903,0
714533,1,1,1,1,4,201303,2,2011,4,2,2,2,0,2,0,0,2,2,1,0,0,0,0,1,1,2,0,0,0,0,1,0,0,0,0,4,0,0,11,3,1,1,2,3,10,6,1,3,5,2,0,0,0,0,2,6,1,201309,1,200905,1
715631,1,3,0,0,0,0,2,2009,2,1,4,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,1,1,2,1,8,1,1,3,5,1,0,0,0,0,2,7,1,200711,0,200902,5
716436,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,1,1,1,1,3,6,1,3,5,1,0,0,0,0,1,4,0,201305,1,200902,0
717491,1,4,0,0,0,0,2,2010,3,1,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,5,1,3,1,11,1,1,3,5,1,0,0,0,0,3,4,0,201007,0,200903,0
718255,1,1,1,1,0,201303,2,2011,8,1,2,2,0,2,1,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,12,4,3,1,3,1,11,1,1,4,9,1,1,0,0,0,2,1,1,201208,1,200903,0
719606,1,1,1,1,7,201303,1,2011,4,2,2,2,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2013,1,0,1,1,12,4,4,1,4,1,9,6,1,3,7,1,0,0,0,0,4,5,1,201305,1,200903,4
720753,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,2,1,1,1,6,3,1,4,8,1,0,0,0,0,1,5,0,200904,0,200903,5
721305,1,3,0,0,0,0,2,2010,3,2,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,1,0,2,1,7,5,1,3,5,1,0,0,0,0,2,1,1,201002,0,200902,5
722225,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,4,1,1,1,3,8,5,1,1,2,2,0,0,0,0,1,1,1,201107,0,200903,3
723325,1,2,1,1,3,201304,2,2011,4,2,2,2,0,2,0,0,1,2,2,0,0,0,0,1,1,1,2012,7,0,0,0,0,0,0,0,5,0,0,13,4,1,1,1,3,16,5,1,1,1,2,0,0,0,0,1,1,1,201009,0,200904,0
724301,1,2,1,2,0,201304,2,2011,4,1,2,2,0,2,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,10,3,4,1,2,1,14,1,1,3,0,1,0,0,0,0,2,1,1,201106,0,200902,4
725421,1,1,1,1,2,201303,2,2011,3,1,2,2,0,2,1,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,14,4,1,1,4,1,16,1,1,2,4,1,0,0,2,0,2,1,1,201305,1,200903,2
726441,1,2,1,1,11,201304,2,2011,4,1,2,2,0,2,1,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,13,4,1,1,4,1,16,1,1,2,3,1,0,0,1,1,2,1,1,201304,1,200905,4
727261,1,2,0,0,0,0,2,2011,4,1,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,3,0,3,1,11,1,1,4,9,1,0,1,0,0,2,2,1,201209,1,200903,3
728495,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,4,1,1,3,8,5,1,4,9,2,0,0,0,0,1,2,0,201305,1,200903,5
729486,1,4,0,0,0,0,1,2010,3,2,3,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,4,1,1,2,3,18,6,1,2,3,1,0,0,0,0,2,1,1,200904,0,200903,4
730215,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,1,0,3,1,13,5,1,1,2,1,0,0,0,0,3,1,1,201206,1,200902,2
731431,1,2,1,1,2,201304,2,2010,4,1,3,2,0,2,1,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,9,2,1,1,2,1,10,1,0,2,4,1,0,0,0,0,2,1,1,201207,1,200907,5
732675,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,1,1,1,1,1,5,1,1,2,2,0,0,0,0,1,2,0,201207,1,200903,2
733315,1,1,1,1,7,201303,2,2011,4,2,2,2,0,2,0,0,1,3,1,0,0,0,0,1,1,2,0,0,0,0,1,0,0,0,0,5,0,0,12,4,1,1,1,1,15,5,1,3,5,1,0,0,0,0,1,1,1,201305,1,200903,0
